"Dyad_ID","partnum","X_A","self_object_appearance_A","self_object_ability_A","other_object_appearance_A","other_object_ability_A","self_object.tavg_A","other_object.tavg_A","relation_qual.avg_A","X_P","self_object_appearance_P","self_object_ability_P","other_object_appearance_P","other_object_ability_P","self_object.tavg_P","other_object.tavg_P","relation_qual.avg_P"
"377033",1,1,3.6,7.4,3.4,7.6,3.8,4.2,,2,7.4,3.6,5.4,5.6,-3.8,0.199999999999999,
"377033",2,2,7.4,3.6,5.4,5.6,-3.8,0.199999999999999,,1,3.6,7.4,3.4,7.6,3.8,4.2,
"737834",1,3,7.2,3.8,7.8,3.2,-3.4,-4.6,6,4,6.8,4.2,6,5,-2.6,-1,7.5
"737834",2,4,6.8,4.2,6,5,-2.6,-1,7.5,3,7.2,3.8,7.8,3.2,-3.4,-4.6,6
"919757",1,5,3.8,7.2,6.2,4.8,3.4,-1.4,8.4,6,4.4,6.6,4,7,2.2,3,8.8
"919757",2,6,4.4,6.6,4,7,2.2,3,8.8,5,3.8,7.2,6.2,4.8,3.4,-1.4,8.4
"938324",1,7,4.8,6.2,6,5,1.4,-1,8.5,8,7.4,3.6,5,6,-3.8,1,8.5
"938324",2,8,7.4,3.6,5,6,-3.8,1,8.5,7,4.8,6.2,6,5,1.4,-1,8.5
"1063439",1,9,8,3,7.2,3.8,-5,-3.4,,10,6.4,4.6,6.6,4.4,-1.8,-2.2,
"1063439",2,10,6.4,4.6,6.6,4.4,-1.8,-2.2,,9,8,3,7.2,3.8,-5,-3.4,
"1151456",1,11,5.6,5.4,7.4,3.6,-0.199999999999999,-3.8,8.7,12,7,4,5.2,5.8,-3,0.6,8.8
"1151456",2,12,7,4,5.2,5.8,-3,0.6,8.8,11,5.6,5.4,7.4,3.6,-0.199999999999999,-3.8,8.7
"1213424",1,13,7.4,3.6,6.6,4.4,-3.8,-2.2,7.1,14,5,6,6,5,1,-1,5.8
"1213424",2,14,5,6,6,5,1,-1,5.8,13,7.4,3.6,6.6,4.4,-3.8,-2.2,7.1
"1215551",1,15,6.4,4.6,5.6,5.4,-1.8,-0.199999999999999,4.5,16,6.6,4.4,7.4,3.6,-2.2,-3.8,
"1215551",2,16,6.6,4.4,7.4,3.6,-2.2,-3.8,,15,6.4,4.6,5.6,5.4,-1.8,-0.199999999999999,4.5
"1534532",1,17,6.8,4.2,5.4,5.6,-2.6,0.199999999999999,4.8,18,5.6,5.4,3.8,7.2,-0.199999999999999,3.4,6.2
"1534532",2,18,5.6,5.4,3.8,7.2,-0.199999999999999,3.4,6.2,17,6.8,4.2,5.4,5.6,-2.6,0.199999999999999,4.8
"1796138",1,19,6.8,4.2,6.4,4.6,-2.6,-1.8,5.4,20,4.2,6.8,4.6,6.4,2.6,1.8,4.8
"1796138",2,20,4.2,6.8,4.6,6.4,2.6,1.8,4.8,19,6.8,4.2,6.4,4.6,-2.6,-1.8,5.4
"1836239",1,21,7.8,3.2,5.2,5.8,-4.6,0.6,7.1,22,5,6,5.8,5.2,1,-0.6,8.5
"1836239",2,22,5,6,5.8,5.2,1,-0.6,8.5,21,7.8,3.2,5.2,5.8,-4.6,0.6,7.1
"2048975",1,23,5.8,5.2,4.8,6.2,-0.6,1.4,7.2,24,5.6,5.4,7,4,-0.199999999999999,-3,7
"2048975",2,24,5.6,5.4,7,4,-0.199999999999999,-3,7,23,5.8,5.2,4.8,6.2,-0.6,1.4,7.2
"2192258",1,25,5.6,5.4,7.6,3.4,-0.199999999999999,-4.2,5.7,26,7.8,3.2,6.6,4.4,-4.6,-2.2,6.2
"2192258",2,26,7.8,3.2,6.6,4.4,-4.6,-2.2,6.2,25,5.6,5.4,7.6,3.4,-0.199999999999999,-4.2,5.7
"2262764",1,27,6.4,4.6,6.6,4.4,-1.8,-2.2,8.4,28,7.6,3.4,5.4,5.6,-4.2,0.199999999999999,8.7
"2262764",2,28,7.6,3.4,5.4,5.6,-4.2,0.199999999999999,8.7,27,6.4,4.6,6.6,4.4,-1.8,-2.2,8.4
"4052115",1,29,6.6,4.4,6,5,-2.2,-1,8.4,30,6.6,4.4,4.2,6.8,-2.2,2.6,8.4
"4052115",2,30,6.6,4.4,4.2,6.8,-2.2,2.6,8.4,29,6.6,4.4,6,5,-2.2,-1,8.4
"4292443",1,31,5,6,5.6,5.4,1,-0.199999999999999,7,32,5.8,5.2,6.2,4.8,-0.6,-1.4,6.3
"4292443",2,32,5.8,5.2,6.2,4.8,-0.6,-1.4,6.3,31,5,6,5.6,5.4,1,-0.199999999999999,7
"4593178",1,33,5.2,5.8,5.8,5.2,0.6,-0.6,8,34,6,5,4.6,6.4,-1,1.8,7.9
"4593178",2,34,6,5,4.6,6.4,-1,1.8,7.9,33,5.2,5.8,5.8,5.2,0.6,-0.6,8
"5339697",1,35,5.2,5.8,6,5,0.6,-1,8,36,6.4,4.6,7.6,3.4,-1.8,-4.2,8.7
"5339697",2,36,6.4,4.6,7.6,3.4,-1.8,-4.2,8.7,35,5.2,5.8,6,5,0.6,-1,8
"6359824",1,37,7.2,3.8,6.6,4.4,-3.4,-2.2,6.8,38,6.8,4.2,5.8,5.2,-2.6,-0.6,8.4
"6359824",2,38,6.8,4.2,5.8,5.2,-2.6,-0.6,8.4,37,7.2,3.8,6.6,4.4,-3.4,-2.2,6.8
"6894072",1,39,6.4,4.6,5.2,5.8,-1.8,0.6,8.3,40,4.6,6.4,5.4,5.6,1.8,0.199999999999999,4.7
"6894072",2,40,4.6,6.4,5.4,5.6,1.8,0.199999999999999,4.7,39,6.4,4.6,5.2,5.8,-1.8,0.6,8.3
"7403083",1,41,5.6,5.4,5,6,-0.199999999999999,1,4.5,42,4.4,6.6,6,5,2.2,-1,5
"7403083",2,42,4.4,6.6,6,5,2.2,-1,5,41,5.6,5.4,5,6,-0.199999999999999,1,4.5
"10211595",1,43,6.8,4.2,5.8,5.2,-2.6,-0.6,5.1,44,5.8,5.2,6.8,4.2,-0.6,-2.6,6.5
"10211595",2,44,5.8,5.2,6.8,4.2,-0.6,-2.6,6.5,43,6.8,4.2,5.8,5.2,-2.6,-0.6,5.1
"14872733",1,45,7.4,3.6,8,3,-3.8,-5,7.6,46,7.2,3.8,4,7,-3.4,3,7.2
"14872733",2,46,7.2,3.8,4,7,-3.4,3,7.2,45,7.4,3.6,8,3,-3.8,-5,7.6
"15149174",1,47,6.2,4.8,6.2,4.8,-1.4,-1.4,7.3,48,6,5,6.2,4.8,-1,-1.4,7.3
"15149174",2,48,6,5,6.2,4.8,-1,-1.4,7.3,47,6.2,4.8,6.2,4.8,-1.4,-1.4,7.3
"15892965",1,49,6.2,4.8,3.8,7.2,-1.4,3.4,7.8,50,,,,,,,6
"15892965",2,50,,,,,,,6,49,6.2,4.8,3.8,7.2,-1.4,3.4,7.8
"16244806",1,51,7,4,4.8,6.2,-3,1.4,9,52,4.4,6.6,4.6,6.4,2.2,1.8,8.7
"16244806",2,52,4.4,6.6,4.6,6.4,2.2,1.8,8.7,51,7,4,4.8,6.2,-3,1.4,9
"16699128",1,53,3,8,4.6,6.4,5,1.8,4.9,54,,,,,,,7.3
"16699128",2,54,,,,,,,7.3,53,3,8,4.6,6.4,5,1.8,4.9
"16711674",1,55,4,7,5.2,5.8,3,0.6,6.4,56,4.4,6.6,4.2,6.8,2.2,2.6,4.3
"16711674",2,56,4.4,6.6,4.2,6.8,2.2,2.6,4.3,55,4,7,5.2,5.8,3,0.6,6.4
"17701991",1,57,3.6,7.4,4.8,6.2,3.8,1.4,7.6,58,4.8,6.2,5.8,5.2,1.4,-0.6,6.7
"17701991",2,58,4.8,6.2,5.8,5.2,1.4,-0.6,6.7,57,3.6,7.4,4.8,6.2,3.8,1.4,7.6
"17986423",1,59,8,3,8,3,-5,-5,8.7,60,8,3,7.8,3.2,-5,-4.6,8.7
"17986423",2,60,8,3,7.8,3.2,-5,-4.6,8.7,59,8,3,8,3,-5,-5,8.7
"18097117",1,61,6.4,4.6,5,6,-1.8,1,7,62,7.2,3.8,6.4,4.6,-3.4,-1.8,6.6
"18097117",2,62,7.2,3.8,6.4,4.6,-3.4,-1.8,6.6,61,6.4,4.6,5,6,-1.8,1,7
"18284987",1,63,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.6,64,5.8,5.2,5.4,5.6,-0.6,0.199999999999999,9
"18284987",2,64,5.8,5.2,5.4,5.6,-0.6,0.199999999999999,9,63,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.6
"18324617",1,65,6.6,4.4,5.6,5.4,-2.2,-0.199999999999999,8.7,66,4.2,6.8,5,6,2.6,1,9
"18324617",2,66,4.2,6.8,5,6,2.6,1,9,65,6.6,4.4,5.6,5.4,-2.2,-0.199999999999999,8.7
"18756718",1,67,7.4,3.6,4.8,6.2,-3.8,1.4,8.2,68,6,5,5,6,-1,1,8.5
"18756718",2,68,6,5,5,6,-1,1,8.5,67,7.4,3.6,4.8,6.2,-3.8,1.4,8.2
"18785388",1,69,6.6,4.4,5,6,-2.2,1,8.5,70,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.8
"18785388",2,70,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.8,69,6.6,4.4,5,6,-2.2,1,8.5
"19323251",1,71,5.4,5.6,5,6,0.199999999999999,1,8.3,72,4.6,6.4,5.8,5.2,1.8,-0.6,8.9
"19323251",2,72,4.6,6.4,5.8,5.2,1.8,-0.6,8.9,71,5.4,5.6,5,6,0.199999999999999,1,8.3
"19733641",1,73,7.2,3.8,6.2,4.8,-3.4,-1.4,9,74,6.4,4.6,6.4,4.6,-1.8,-1.8,9
"19733641",2,74,6.4,4.6,6.4,4.6,-1.8,-1.8,9,73,7.2,3.8,6.2,4.8,-3.4,-1.4,9
"22536798",1,75,6.8,4.2,6.8,4.2,-2.6,-2.6,5.1,76,7,4,4.4,6.6,-3,2.2,5.2
"22536798",2,76,7,4,4.4,6.6,-3,2.2,5.2,75,6.8,4.2,6.8,4.2,-2.6,-2.6,5.1
"23712310",1,77,7,4,6,5,-3,-1,4.8,78,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,5
"23712310",2,78,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,5,77,7,4,6,5,-3,-1,4.8
"23782765",1,79,5.6,5.4,6.6,4.4,-0.199999999999999,-2.2,8.4,80,7.4,3.6,6.2,4.8,-3.8,-1.4,8.5
"23782765",2,80,7.4,3.6,6.2,4.8,-3.8,-1.4,8.5,79,5.6,5.4,6.6,4.4,-0.199999999999999,-2.2,8.4
"23799711",1,81,3.6,7.4,4.2,6.8,3.8,2.6,8,82,4,7,3.8,7.2,3,3.4,7.7
"23799711",2,82,4,7,3.8,7.2,3,3.4,7.7,81,3.6,7.4,4.2,6.8,3.8,2.6,8
"27005905",1,83,6.6,4.4,5,6,-2.2,1,8.9,84,7.6,3.4,6.2,4.8,-4.2,-1.4,8.4
"27005905",2,84,7.6,3.4,6.2,4.8,-4.2,-1.4,8.4,83,6.6,4.4,5,6,-2.2,1,8.9
"27311279",1,85,5.4,5.6,6.6,4.4,0.199999999999999,-2.2,,86,6.8,4.2,7.6,3.4,-2.6,-4.2,9
"27311279",2,86,6.8,4.2,7.6,3.4,-2.6,-4.2,9,85,5.4,5.6,6.6,4.4,0.199999999999999,-2.2,
"27511978",1,87,5.4,5.6,5,6,0.199999999999999,1,8.9,88,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,9
"27511978",2,88,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,9,87,5.4,5.6,5,6,0.199999999999999,1,8.9
"28021760",1,89,4.8,6.2,5.6,5.4,1.4,-0.199999999999999,7.6,90,6.2,4.8,4.4,6.6,-1.4,2.2,8.1
"28021760",2,90,6.2,4.8,4.4,6.6,-1.4,2.2,8.1,89,4.8,6.2,5.6,5.4,1.4,-0.199999999999999,7.6
"28947773",1,91,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8,92,5,6,5.4,5.6,1,0.199999999999999,8.4
"28947773",2,92,5,6,5.4,5.6,1,0.199999999999999,8.4,91,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8
"28992200",1,93,6.2,4.8,4.4,6.6,-1.4,2.2,6.2,94,5,6,7.8,3.2,1,-4.6,5.4
"28992200",2,94,5,6,7.8,3.2,1,-4.6,5.4,93,6.2,4.8,4.4,6.6,-1.4,2.2,6.2
"28992252",1,95,6.4,4.6,6.2,4.8,-1.8,-1.4,7.3,96,6,5,8,3,-1,-5,
"28992252",2,96,6,5,8,3,-1,-5,,95,6.4,4.6,6.2,4.8,-1.8,-1.4,7.3
"28993415",1,97,6.4,4.6,5.8,5.2,-1.8,-0.6,8.5,98,,,,,,,7.1
"28993415",2,98,,,,,,,7.1,97,6.4,4.6,5.8,5.2,-1.8,-0.6,8.5
"29008274",1,99,5.8,5.2,4.8,6.2,-0.6,1.4,5.4,100,7.6,3.4,4.4,6.6,-4.2,2.2,
"29008274",2,100,7.6,3.4,4.4,6.6,-4.2,2.2,,99,5.8,5.2,4.8,6.2,-0.6,1.4,5.4
"29008631",1,101,7,4,5.4,5.6,-3,0.199999999999999,8.5,102,5,6,5.6,5.4,1,-0.199999999999999,8.5
"29008631",2,102,5,6,5.6,5.4,1,-0.199999999999999,8.5,101,7,4,5.4,5.6,-3,0.199999999999999,8.5
"29008873",1,103,6.2,4.8,5.2,5.8,-1.4,0.6,7.7,104,5.4,5.6,5.4,5.6,0.199999999999999,0.199999999999999,8.8
"29008873",2,104,5.4,5.6,5.4,5.6,0.199999999999999,0.199999999999999,8.8,103,6.2,4.8,5.2,5.8,-1.4,0.6,7.7
"29014377",1,105,4.6,6.4,7.2,3.8,1.8,-3.4,7.5,106,6,5,5.2,5.8,-1,0.6,8.4
"29014377",2,106,6,5,5.2,5.8,-1,0.6,8.4,105,4.6,6.4,7.2,3.8,1.8,-3.4,7.5
"29027911",1,107,5.8,5.2,6.2,4.8,-0.6,-1.4,9,108,6.2,4.8,6.6,4.4,-1.4,-2.2,8.8
"29027911",2,108,6.2,4.8,6.6,4.4,-1.4,-2.2,8.8,107,5.8,5.2,6.2,4.8,-0.6,-1.4,9
"29029182",1,109,8,3,8,3,-5,-5,9,110,7.6,3.4,7.2,3.8,-4.2,-3.4,8.3
"29029182",2,110,7.6,3.4,7.2,3.8,-4.2,-3.4,8.3,109,8,3,8,3,-5,-5,9
"29070034",1,111,8,3,6.8,4.2,-5,-2.6,7.8,112,7,4,6,5,-3,-1,8.2
"29070034",2,112,7,4,6,5,-3,-1,8.2,111,8,3,6.8,4.2,-5,-2.6,7.8
"29077358",1,113,7.4,3.6,7.6,3.4,-3.8,-4.2,8.5,114,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,8.4
"29077358",2,114,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,8.4,113,7.4,3.6,7.6,3.4,-3.8,-4.2,8.5
"29080875",1,115,7.4,3.6,6,5,-3.8,-1,7.4,116,4.8,6.2,6.6,4.4,1.4,-2.2,7
"29080875",2,116,4.8,6.2,6.6,4.4,1.4,-2.2,7,115,7.4,3.6,6,5,-3.8,-1,7.4
"29083526",1,117,4.6,6.4,6.8,4.2,1.8,-2.6,6.2,118,7.8,3.2,5,6,-4.6,1,7.3
"29083526",2,118,7.8,3.2,5,6,-4.6,1,7.3,117,4.6,6.4,6.8,4.2,1.8,-2.6,6.2
"29090161",1,119,5.2,5.8,7.6,3.4,0.6,-4.2,7.8,120,8,3,8,3,-5,-5,8.1
"29090161",2,120,8,3,8,3,-5,-5,8.1,119,5.2,5.8,7.6,3.4,0.6,-4.2,7.8
"29108175",1,121,6.8,4.2,6.8,4.2,-2.6,-2.6,7.3,122,6.4,4.6,6.6,4.4,-1.8,-2.2,7.7
"29108175",2,122,6.4,4.6,6.6,4.4,-1.8,-2.2,7.7,121,6.8,4.2,6.8,4.2,-2.6,-2.6,7.3
"29113070",1,123,6.8,4.2,8,3,-2.6,-5,,124,8,3,7.2,3.8,-5,-3.4,8.5
"29113070",2,124,8,3,7.2,3.8,-5,-3.4,8.5,123,6.8,4.2,8,3,-2.6,-5,
"29120878",1,125,6.6,4.4,6.4,4.6,-2.2,-1.8,7.2,126,6.8,4.2,3.8,7.2,-2.6,3.4,9
"29120878",2,126,6.8,4.2,3.8,7.2,-2.6,3.4,9,125,6.6,4.4,6.4,4.6,-2.2,-1.8,7.2
"29133647",1,127,4.8,6.2,7,4,1.4,-3,7.4,128,6.8,4.2,5.8,5.2,-2.6,-0.6,7.6
"29133647",2,128,6.8,4.2,5.8,5.2,-2.6,-0.6,7.6,127,4.8,6.2,7,4,1.4,-3,7.4
"29169727",1,129,4.2,6.8,6.2,4.8,2.6,-1.4,7.4,130,5.2,5.8,6,5,0.6,-1,8.2
"29169727",2,130,5.2,5.8,6,5,0.6,-1,8.2,129,4.2,6.8,6.2,4.8,2.6,-1.4,7.4
"29169849",1,131,6.8,4.2,5.2,5.8,-2.6,0.6,8.1,132,6.2,4.8,4.8,6.2,-1.4,1.4,8.1
"29169849",2,132,6.2,4.8,4.8,6.2,-1.4,1.4,8.1,131,6.8,4.2,5.2,5.8,-2.6,0.6,8.1
"29186653",1,133,6.2,4.8,3.8,7.2,-1.4,3.4,8.4,134,5.2,5.8,4,7,0.6,3,8.9
"29186653",2,134,5.2,5.8,4,7,0.6,3,8.9,133,6.2,4.8,3.8,7.2,-1.4,3.4,8.4
"29187228",1,135,5.4,5.6,6.4,4.6,0.199999999999999,-1.8,7.2,136,4.4,6.6,3.8,7.2,2.2,3.4,7.7
"29187228",2,136,4.4,6.6,3.8,7.2,2.2,3.4,7.7,135,5.4,5.6,6.4,4.6,0.199999999999999,-1.8,7.2
"29196654",1,137,6.8,4.2,6.8,4.2,-2.6,-2.6,9,138,6.4,4.6,4.8,6.2,-1.8,1.4,8.6
"29196654",2,138,6.4,4.6,4.8,6.2,-1.8,1.4,8.6,137,6.8,4.2,6.8,4.2,-2.6,-2.6,9
"29226842",1,139,5.8,5.2,6.6,4.4,-0.6,-2.2,9,140,8,3,8,3,-5,-5,9
"29226842",2,140,8,3,8,3,-5,-5,9,139,5.8,5.2,6.6,4.4,-0.6,-2.2,9
"29237405",1,141,6.4,4.6,6.4,4.6,-1.8,-1.8,7.1,142,7.8,3.2,6,5,-4.6,-1,7.4
"29237405",2,142,7.8,3.2,6,5,-4.6,-1,7.4,141,6.4,4.6,6.4,4.6,-1.8,-1.8,7.1
"29251840",1,143,4.6,6.4,6.2,4.8,1.8,-1.4,5.9,144,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,
"29251840",2,144,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,,143,4.6,6.4,6.2,4.8,1.8,-1.4,5.9
"29258147",1,145,6.4,4.6,7.8,3.2,-1.8,-4.6,7.8,146,7.6,3.4,7.2,3.8,-4.2,-3.4,8.1
"29258147",2,146,7.6,3.4,7.2,3.8,-4.2,-3.4,8.1,145,6.4,4.6,7.8,3.2,-1.8,-4.6,7.8
"29273612",1,147,6.6,4.4,5.2,5.8,-2.2,0.6,8.8,148,6.4,4.6,4.4,6.6,-1.8,2.2,8.6
"29273612",2,148,6.4,4.6,4.4,6.6,-1.8,2.2,8.6,147,6.6,4.4,5.2,5.8,-2.2,0.6,8.8
"29273822",1,149,7.2,3.8,7,4,-3.4,-3,6.3,150,7,4,5.4,5.6,-3,0.199999999999999,6.8
"29273822",2,150,7,4,5.4,5.6,-3,0.199999999999999,6.8,149,7.2,3.8,7,4,-3.4,-3,6.3
"29275282",1,151,8,3,5.6,5.4,-5,-0.199999999999999,8.6,152,7.2,3.8,6,5,-3.4,-1,5.3
"29275282",2,152,7.2,3.8,6,5,-3.4,-1,5.3,151,8,3,5.6,5.4,-5,-0.199999999999999,8.6
"29276238",1,153,7,4,6,5,-3,-1,7.5,154,7,4,5.8,5.2,-3,-0.6,8.4
"29276238",2,154,7,4,5.8,5.2,-3,-0.6,8.4,153,7,4,6,5,-3,-1,7.5
"29281726",1,155,5.6,5.4,3.6,7.4,-0.199999999999999,3.8,9,156,6.4,4.6,6.2,4.8,-1.8,-1.4,8
"29281726",2,156,6.4,4.6,6.2,4.8,-1.8,-1.4,8,155,5.6,5.4,3.6,7.4,-0.199999999999999,3.8,9
"29291479",1,157,5.4,5.6,6.2,4.8,0.199999999999999,-1.4,5.6,158,7.2,3.8,4.2,6.8,-3.4,2.6,8.5
"29291479",2,158,7.2,3.8,4.2,6.8,-3.4,2.6,8.5,157,5.4,5.6,6.2,4.8,0.199999999999999,-1.4,5.6
"29302703",1,159,4.4,6.6,7,4,2.2,-3,4.5,160,7,4,4,7,-3,3,6.6
"29302703",2,160,7,4,4,7,-3,3,6.6,159,4.4,6.6,7,4,2.2,-3,4.5
"29319965",1,161,7,4,7.6,3.4,-3,-4.2,6.2,162,6.8,4.2,4.8,6.2,-2.6,1.4,7
"29319965",2,162,6.8,4.2,4.8,6.2,-2.6,1.4,7,161,7,4,7.6,3.4,-3,-4.2,6.2
"29322606",1,163,8,3,7,4,-5,-3,8.9,164,7.4,3.6,6,5,-3.8,-1,9
"29322606",2,164,7.4,3.6,6,5,-3.8,-1,9,163,8,3,7,4,-5,-3,8.9
"29346027",1,165,7,4,7.4,3.6,-3,-3.8,6.1,166,7.8,3.2,6,5,-4.6,-1,6.9
"29346027",2,166,7.8,3.2,6,5,-4.6,-1,6.9,165,7,4,7.4,3.6,-3,-3.8,6.1
"29356648",1,167,5,6,6,5,1,-1,9,168,6,5,6,5,-1,-1,9
"29356648",2,168,6,5,6,5,-1,-1,9,167,5,6,6,5,1,-1,9
"29358468",1,169,7.2,3.8,7.2,3.8,-3.4,-3.4,7.2,170,7.2,3.8,5.4,5.6,-3.4,0.199999999999999,8.4
"29358468",2,170,7.2,3.8,5.4,5.6,-3.4,0.199999999999999,8.4,169,7.2,3.8,7.2,3.8,-3.4,-3.4,7.2
"29373255",1,171,,,5.8,5.2,,-0.6,9,172,,,6,5,,-1,1
"29373255",2,172,,,6,5,,-1,1,171,,,5.8,5.2,,-0.6,9
"29398891",1,173,7,4,4.8,6.2,-3,1.4,8.6,174,5.2,5.8,4.2,6.8,0.6,2.6,8.7
"29398891",2,174,5.2,5.8,4.2,6.8,0.6,2.6,8.7,173,7,4,4.8,6.2,-3,1.4,8.6
"29434095",1,175,5.4,5.6,5.8,5.2,0.199999999999999,-0.6,,176,5,6,6.6,4.4,1,-2.2,
"29434095",2,176,5,6,6.6,4.4,1,-2.2,,175,5.4,5.6,5.8,5.2,0.199999999999999,-0.6,
"29447526",1,177,6.8,4.2,5.8,5.2,-2.6,-0.6,8,178,6.4,4.6,5.2,5.8,-1.8,0.6,8.2
"29447526",2,178,6.4,4.6,5.2,5.8,-1.8,0.6,8.2,177,6.8,4.2,5.8,5.2,-2.6,-0.6,8
"29457967",1,179,5.8,5.2,7.2,3.8,-0.6,-3.4,5.8,180,5.8,5.2,7.6,3.4,-0.6,-4.2,7.9
"29457967",2,180,5.8,5.2,7.6,3.4,-0.6,-4.2,7.9,179,5.8,5.2,7.2,3.8,-0.6,-3.4,5.8
